time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,11,5,0,0
2026-06-13 00:00:00+00:00,9,3,1,1
2026-06-14 00:00:00+00:00,29,9,1,1
2026-06-15 00:00:00+00:00,28,8,6,1
2026-06-16 00:00:00+00:00,19,9,0,0
2026-06-17 00:00:00+00:00,25,7,0,0
2026-06-18 00:00:00+00:00,21,7,0,0
2026-06-19 00:00:00+00:00,27,8,0,0
2026-06-20 00:00:00+00:00,52,12,0,0
2026-06-21 00:00:00+00:00,49,12,0,0
2026-06-22 00:00:00+00:00,51,13,0,0
2026-06-23 00:00:00+00:00,31,8,0,0
2026-06-24 00:00:00+00:00,19,5,0,0
2026-06-25 00:00:00+00:00,32,8,1,1
